Region,Q1,Q2,Q3,Q4,Q5,Q6:1,Q6:2,Q6:3,Q6:4,Q6:5,Q6:6,Q7:1,Q7:2,Q7:3,Q7:4,Q7:5,Q7:6,Q8,Q9,Q9a,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q16a,Q16b,Q16c,Q16d,Q17,Q18,Q19,Q20:1,Q20:2,Q20:3,Q20:4,Q21,Q21a,Q21b,Q21c,Q21d,Q21e,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q28a,Q28b,Q28c,Q28d,Q29,Q29a,Q29b,Q29c,Q29d,Q29e,Q29f,Q29g,Q29h,Q29i,Q29j,Q29k,Q30,Q31,Q32:1,Q32:2,Q32:3,Q32:4,Q32:5,Q32:6,Q32:7,Q32:8,Q33:1,Q33:2,Q33:3,Q33:4,Q33:5,Q33:6,Q34,Q35,Q36,PosNeg,ServiceArea
Region,How long have you been a resident at HousingFirst?,Which language do you speak the most at home?,How would you describe your background?,How old are you?,Have you made contact with HousingFirst in the last 12 months?,What was the reason that you contacted HousingFirst?,What was the reason that you contacted HousingFirst?,What was the reason that you contacted HousingFirst?,What was the reason that you contacted HousingFirst?,What was the reason that you contacted HousingFirst?,What was the reason that you contacted HousingFirst?,How did you last contact HousingFirst?,How did you last contact HousingFirst?,How did you last contact HousingFirst?,How did you last contact HousingFirst?,How did you last contact HousingFirst?,How did you last contact HousingFirst?,Was your enquiry answered within a reasonable time?,The ability of staff to deal with your query quickly and efficiently,The final outcome of your query,"Overall, how satisfied or dissatisfied are you with communication with HousingFirst?",Do you know what your rights are as a resident of HousingFirst?,How satisfied or dissatisfied are you that your rights as a resident are upheld by HousingFirst?,How satisfied or dissatisfied are you that HousingFirst treats you fairly?,Do you know how to make a complaint to HousingFirst?,Have you made a complaint to HousingFirst in the last 12 months?,How easy it was to make your complaint,The information and advice provided by staff,How well you were kept informed about the progress of your complaint,The speed with which your complaint was dealt with,The outcome of your complaint,"Overall, how satisfied or dissatisfied are you about how your complaint was dealt with?","Overall, how satisfied or dissatisfied are you with the condition of your home?",Have you reported a repair to HousingFirst in the last 12 months? ,How did you request the repair?,How did you request the repair?,How did you request the repair?,How did you request the repair?,My call was answered in a timely manner or my phone message was returned promptly,HousingFirst staff were helpful and attentive,I was advised of how long the works would take and was kept informed of progress,The contractor called me to make an appointment,The contractor attended at the arranged time,The contractor was respectful and courteous towards me and my property,Overall how satisfied are you with the quality of the repair carried out at your home?,Have you used HousingFirst’ out-of-hours emergency repairs service in the last 12 months?,How satisfied or dissatisfied were you with the out-of-hours emergency repairs service?,"Generally, how satisfied or dissatisfied are you with the way we deal with repairs and maintenance? ",How satisfied or dissatisfied are you with the location of your home?,How satisfied or dissatisfied are you with your neighbourhood as a place to live?,"Suitability of your home to your circumstances e.g. your mobility, other needs",Safety of your home,"Services available in your area (e.g. schools, doctors)",Transport available in your area,Size of your home,Car parking,Rubbish or litter,Noisy neighbours,Problems with pets and animals,Racial or other harassment,Drunk or rowdy behaviour,Vandalism and graffiti,People damaging your property,Drug use or dealing,Theft,Abandoned or burnt vehicles,Family violence or physical assault,Are you aware of opportunities to participate in HousingFirst's resident advisory groups such as PAINT?,Are you aware of how you can influence / suggest resident activities in your area?,Are there any barriers or concerns that has stopped you getting involved in resident participation at HousingFirst?,Are there any barriers or concerns that has stopped you getting involved in resident participation at HousingFirst?,Are there any barriers or concerns that has stopped you getting involved in resident participation at HousingFirst?,Are there any barriers or concerns that has stopped you getting involved in resident participation at HousingFirst?,Are there any barriers or concerns that has stopped you getting involved in resident participation at HousingFirst?,Are there any barriers or concerns that has stopped you getting involved in resident participation at HousingFirst?,Are there any barriers or concerns that has stopped you getting involved in resident participation at HousingFirst?,Are there any barriers or concerns that has stopped you getting involved in resident participation at HousingFirst?,Which issues or activities are you interested in? Please select all that apply:,Which issues or activities are you interested in? Please select all that apply:,Which issues or activities are you interested in? Please select all that apply:,Which issues or activities are you interested in? Please select all that apply:,Which issues or activities are you interested in? Please select all that apply:,Which issues or activities are you interested in? Please select all that apply:,How satisfied or dissatisfied are you that your views are being taken into account by us? ,"Taking everything into account, how satisfied or dissatisfied are you with the services provided by us? ",If you would like to expand on any of your answers above ...,Positive or negative,Service area type
Inner South,1 to 2 years,English,None of the above,0-19,Yes ,Repairs and maintenance,,Rent,,,,By phone,,,By email,,,No,Very dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Yes,Very dissatisfied,Fairly satisfied,Yes,Yes,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Via email,,By phone,,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very satisfied,Very dissatisfied,Yes,Very dissatisfied,Very dissatisfied,Fairly satisfied,Very dissatisfied,Very satisfied,Very dissatisfied,Very satisfied,Very satisfied,Fairly satisfied,Not a problem at all,Major problem,Major problem,Not a problem at all,Not a problem at all,Major problem,Major problem,Not a problem at all,Major problem,Not a problem at all,Minor problem,Major problem,No,No,,,,,,,,Lack of interest,,,,,,Other,Very dissatisfied,Very dissatisfied,"You claim to care about us our concerns, issues and repairs yet you take months to do anything about anything.",Negative,Repairs - time
North,1 to 2 years,English,Migrant (not born in Australia),20-29,Yes ,Repairs and maintenance,,,,,,,,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Unsure,No opinion,Very satisfied,No,No ,,,,,,,Very satisfied,Yes,Via email,,,,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very satisfied,Very satisfied,Fairly satisfied,No,,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Not a problem at all,Not a problem at all,No,No,,,,,,,,,Activities for children and young people,,,Helping to share future programs for residents,,,Very satisfied,Very satisfied,,,
Inner Northwest,More than 10 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),50-59,Yes ,Repairs and maintenance,Neighbourhood issues,,,,,By phone,,,,,,Yes,,Fairly satisfied,Very satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,Fairly dissatisfied,Fairly satisfied,Yes,Via email,,By phone,,Very satisfied,Very satisfied,Fairly satisfied,Very satisfied,Fairly satisfied,Very satisfied,Very satisfied,Yes,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Minor problem,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,No,Yes,,,,,,No feedback received or lack of action,,,,,,Helping to share future programs for residents,,,Very satisfied,Fairly satisfied,Thank you . And welcome to housing if you are my new housing manager. Hopefully we can get things moving around the building with repairs and etc. Love to hear from you any time. First time ever had survey through email was very helpful. Nice to put in my input. Cheers for now,Positive,HousingFirst generally
East,Less than a year,English,Born in Australia (not Aboriginal or Torres Strait Islander),30-39,Yes ,Repairs and maintenance,Neighbourhood issues,Rent,Residency transfer,,,By phone,In person,,By email,,,No,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Very dissatisfied,Very dissatisfied,Yes,Yes,Neither satisfied nor dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Yes,Via email,In person,By phone,,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,No,,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,Very dissatisfied,,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Major problem,Yes,No,Location of the meetings,Transport cost,,Times/day of meetings,Content of the meetings,,,Lack of interest,,,,,Social activities,,Very dissatisfied,Very dissatisfied,HousingFirst staff don't take my complaints seriously & I feel my mental illness is being used against me by everyone at HousingFirst as my issues are still continuing to the point I'm considering vacating for the 2nd time due to staff at HousingFirst breaching their duty of care policies,Negative,Housing services - customer service
Inner South,Less than a year,English,Aboriginal or Torres Strait Islander,20-29,Yes ,,,Rent,,,,,In person,,,,,Yes,Very satisfied,Very satisfied,Very satisfied,Unsure,Neither satisfied nor dissatisfied,Very satisfied,Unsure,No ,,,,,,,Very satisfied,No,,,,,,,,,,,,,,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Minor problem,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,Unsure,,,,,,,,,Activities for children and young people,Employment opportunities,Training opportunities,,Social activities,,Fairly satisfied,Fairly satisfied,"I found it easy linking in with housing, through cornelia house. Pregnancy and mum and bubs housing through royal woman’s hospital. Although my partner who is facing homelessness cannot stay at my premises, due to the rules of Cornelia. I tried to link him in with housing but struggled and didn’t receive much contact back from housing.",Neutral,Housing services
North,Less than a year,English,Migrant (not born in Australia),60-69,Yes ,Repairs and maintenance,,,,,,By phone,,,By email,,,No,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,Yes,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Yes,Via email,,By phone,,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly dissatisfied,No,,Neither satisfied nor dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very satisfied,Very satisfied,Not a problem at all,Major problem,Minor problem,Minor problem,Not a problem at all,Minor problem,Major problem,Not a problem at all,Minor problem,Major problem,Not a problem at all,Not a problem at all,No,No,Location of the meetings,,,,,No feedback received or lack of action,,,,,,,Social activities,,Fairly dissatisfied,Fairly satisfied,,,
West,Less than a year,Other,Refugee or asylum seeker,60-69,Yes ,,,Rent,,,,,,By letter,,,,Unsure,,,No opinion,Yes,,,Unsure,No ,,,,,,,No opinion,No,,,,,,,,,,,,,,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Unsure,No,,,,,,,,,,,,,,,No opinion,No opinion,Very good,Positive,HousingFirst generally
Inner South,3 to 5 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,,,,,,,,,By email,,,No,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Yes,Fairly satisfied,Fairly satisfied,Yes,No ,,,,,,,Very dissatisfied,Yes,Via email,,,,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Fairly satisfied,Very dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Very dissatisfied,No,,Very dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Not a problem at all,,Minor problem,Not a problem at all,Not a problem at all,Minor problem,Minor problem,Major problem,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,Times/day of meetings,,,,,,,,Helping to share future programs for residents,,,Fairly dissatisfied,Fairly satisfied,"I have had a leaking window for 2 years that is creating an issue and black mould could be in the wall cavity. I have called many times. To this day 2 years later, it’s still not fixed.  Next I asked for permission to install a grab bar in the shower. They said it was approved and no cost to me. They came to look and nothing done to this day, some 3 months after asking. I am having 2 spinal surgeries and a total hip replacement starting in 2 days. No calls no nothing",Negative,Repairs - time
Inner South,1 to 2 years,English,Born in Australia (not Aboriginal or Torres Strait Islander),60-69,Yes ,Repairs and maintenance,,,,,,,,,By email,,,Yes,Very satisfied,Very satisfied,Very satisfied,Yes,Very satisfied,Very satisfied,Yes,No ,,,,,,,Very satisfied,Yes,Via email,,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Yes,Fairly dissatisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Not a problem at all,Yes,Yes,,,,Times/day of meetings,,,,,,,,Helping to share future programs for residents,,,Very satisfied,Very satisfied,"Housing First do a great job. Having had to contact Maintenance a number of times, I cannot speak highly enough of the helpful and kind staff. My only concern is there seems to be a big turnover of staff, which means internal staff team work training may be of assistance to improve longevity of the lovely staff. Thank you",Positive,Housing services
